HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5053886,Western Outfall Main Sewer (Rockdale to Homesbush),Valda Avenue (off south side of Kogarah Golf Course) Arncliffe,Rockdale,SHR,1647,2060,20/03/2014,
5045242,Vermont Terrace,"63, 65 Lower Fort Street Millers Point",Sydney,SHR,910,NULL,20/03/2014,
5011960,Burwood Railway Station group,NULL,Burwood,SHR,1106,2155,20/03/2014,
5012002,East Maitland Railway Station group,NULL,Maitland,SHR,1135,NULL,20/03/2014,
5051466,Woronora Dam,NULL,Sutherland,SHR,1378,NULL,20/03/2014,
5051578,Jenolan Caves Reserve,NULL,Oberon,SHR,1698,1937,20/03/2014,
5053191,Russell Hotel and shop,143-143a George Street The Rocks,Sydney,SHR,1575,NULL,20/03/2014,
5012306,Royal Prince Alfred Hospital - Victoria & Albert Pavilions,NULL,Sydney,SHR,829,1981,20/03/2014,
5045707,Narrabri Gaol and Residence,NULL,Narrabri,SHR,344,813,20/03/2014,
5045150,Berrima Correctional Centre,NULL,Wingecarribee,SHR,807,2506,20/03/2014,
5056225,Malabar Headland,NULL,Randwick,SHR,1741,1995,20/03/2014,
5045388,Pallister,95 River Road Greenwich,Lane Cove,SHR,574,1571,20/03/2014,
5045215,Stone Cottage & Wall,14-16 Merriman Street Millers Point,Sydney,SHR,840,NULL,20/03/2014,
5052604,Old Government Cottages Group,16 Stanley Street Bathurst,Bathurst Regional,SHR,1659,2075,20/03/2014,
5045199,Horningsea Park,NULL,Liverpool,SHR,255,623 [draft],20/03/2014,
5045395,Grace Building,77-79 York Street Sydney,Sydney,SHR,712,1763,20/03/2014,
5045293,Big House Hotel,20 Sussex Street Sydney,Sydney,SHR,513,1330,20/03/2014,
5045368,Barden & Ribee Saddlery,473 High Street Maitland,Maitland,SHR,89,283,20/03/2014,
5045314,Sydney Trades Hall,4-10 Goulburn Street Sydney,Sydney,SHR,322,770,20/03/2014,
5051347,Royal College of Radiologists,37 Lower Fort Street Millers Point,Sydney,SHR,522,1333,20/03/2014,
5045647,Dundee rail bridge over Severn River,NULL,Glen Innes Severn,SHR,1033,2164,20/03/2014,
5053428,St. Patrick's Roman Catholic Cemetery,NULL,Parramatta,SHR,1880,1988,20/03/2014,
5012242,Temora Railway Station group,NULL,Temora,SHR,1265,NULL,20/03/2014,
5061664,Tocal College - C.B. Alexander Campus and Movable Collection,"Tocal Road, Tocal",Maitland,SHR,1908,2564,,
5045044,"Goulburn Pumping Station, Marsden Weir & Appleby Steam Engine",NULL,Goulburn Mulwaree,SHR,356,861.1,20/03/2014,
5051434,Potts Hill Reservoirs 1 & 2 and Site,NULL,Bankstown,SHR,1333,2274,20/03/2014,
5045421,St. John the Evangelist Anglican Church Group,NULL,Great Lakes,SHR,330,799,20/03/2014,
5052015,Military Station Archaeological Site and Burial at Glenroy,200 Jenolan Caves Road Hartley,Lithgow,SHR,1840,2326,20/03/2014,
5051422,Chatswood Reservoirs No. 1 and No. 2,559 Pacific Highway Artarmon,Willoughby,SHR,1321,2017,20/03/2014,
5012122,Newcastle Railway Station additional group,NULL,Newcastle,SHR,1212,2450,20/03/2014,
5045203,Macquarie Lighthouse Site,NULL,Woollahra,SHR,677,1725,20/03/2014,
5011929,Bethungra Spiral,NULL,Junee,SHR,1026,NULL,20/03/2014,
5045055,Laurieton School of Arts,NULL,Port Macquarie-Hastings,SHR,476,1194,20/03/2014,
5051387,Vacy Bridge over Paterson River,NULL,Dungog,SHR,1483,NULL,20/03/2014,
5045492,Oldbury Farm,NULL,Wingecarribee,SHR,488,1220,20/03/2014,
5045051,Residence,28 Mistral Avenue Mosman,Mosman,SHR,210,489,20/03/2014,
5061010,Linden Observatory Complex,91 - 111 Glossop Rd Linden,Blue Mountains,SHR,1807,2301,20/03/2014,
5045071,Smoky Cape Lighthouse Group,South West Rocks 10km east of Kempsey,Kempsey,SHR,1007,NULL,20/03/2014,
5045312,Masonic Temple,46 Collins Street Kiama,Kiama,SHR,474,1133,20/03/2014,
5054880,Sydney Opera House,NULL,Sydney,SHR,1685,1918,20/03/2014,
5012107,Mittagong Railway Station and yard group,Main Southern railway Mittagong,Wingecarribee,SHR,1195,2658,5/12/2014,
5054664,Currawong Workers' Holiday Camp,NULL,Pittwater,SHR,1784,2063,20/03/2014,
5012225,Strathfield rail underbridges,NULL,Strathfield,SHR,1055,NULL,20/03/2014,
5045000,Fernhill,NULL,Lithgow,SHR,225,532,20/03/2014,
5012008,Fairfield Railway Station group,NULL,Fairfield,SHR,1143,NULL,20/03/2014,
5045540,"Clydesdale - Grand House, Barn & Cottage",NULL,Blacktown,SHR,674,1713,20/03/2014,
5011985,Pyrmont and Glebe Railway Tunnels,NULL,Leichhardt,SHR,1225,NULL,20/03/2014,
5045621,Bare Island Fort,NULL,Randwick,SHR,978,2490,20/03/2014,
5045306,Silverwater Prison Complex Conservation Area,NULL,Auburn,SHR,813,2508,20/03/2014,
5061538,Lyons House,"Port Hacking Road, Port Hacking (Dolan's Bay)",Sutherland,SHR,1930,2613,17/12/2014,
5055789,Wilberforce Cemetery,NULL,Hawkesbury,SHR,1837,2328,20/03/2014,
5044733,Amusu Theatre,17 Derowie Street Manildra,Cabonne,SHR,1308,2222,20/03/2014,
5045165,Terrace Cottages,"197, 199, 201 Albion Street Surry Hills",Sydney,SHR,64,258,20/03/2014,
5001279,Booloominbah,51-61 Trevenna Road Armidale,Armidale Dumaresq,SHR,1768,2194,20/03/2014,
5012305,Royal Prince Alfred Hospital - Admission Block,NULL,Sydney,SHR,830,1981,20/03/2014,
5053153,Cleland Bond Store (part of Argyle Stores),33 Playfair Street The Rocks,Sydney,SHR,1538,NULL,20/03/2014,
5051462,Parramatta Park and Old Government House,NULL,Parramatta,SHR,596,1547,20/03/2014,
5061086,Government Cottage Archaeological Site,41 George Street Windsor,Hawkesbury,SHR,1843,2325,20/03/2014,
5044998,Mount Wilga House,NULL,Hornsby,SHR,535,1377,20/03/2014,
5045076,Glenleigh Estate,427 Mulgoa Road Regentville,Penrith,SHR,346,353,20/03/2014,
5012246,Thirroul Railway Station Group,NULL,Wollongong City,SHR,1269,2477,20/03/2014,
5045518,"Horsley complex (homestead, outbuildings, garden, farm)",52-58 Jamieson Close Horsley Park,Fairfield,SHR,30,174,20/03/2014,
5051377,Mckanes Falls Bridge,Jenolan Caves Road Lithgow,Lithgow,SHR,1473,2677,14/01/2015,
5053861,BOOS (Bondi Ocean Outfall Sewer),NULL,Waverley,SHR,1623,2040,20/03/2014,
5045705,Bella Vista,NULL,Baulkham Hills,SHR,754,1817,20/03/2014,
5053358,C B Newling Centre,122 Mossman Street Armidale,Armidale Dumaresq,SHR,1769,2193,20/03/2014,
5045685,Fenton and surrounds,8 Albert Street Edgecliff,Woollahra,SHR,249,600,20/03/2014,
5045308,Wooden Terraces,24-40 Collins Street Kiama,Kiama,SHR,472,1004,20/03/2014,
5045720,Burns Philp Building,5-11 Bridge Street Sydney,Sydney,SHR,347,827,20/03/2014,
5011957,Bulli Railway Station Group and Movable Objects,"Railway Street, Bulli",Wollongong,SHR,,2557,,
5060990,St. John's Anglican Cathedral,195 Church Street Parramatta,Parramatta,SHR,1805,2305,20/03/2014,
5051361,Clarence River Road Bridge,State Highway 16 Tabulam,Kyogle,SHR,1461,2669,12/01/2015,
5045550,Throsby Park Historic Site,NULL,Wingecarribee,SHR,1008,NULL,20/03/2014,
5045294,Raywell,144 Louisa Road Birchgrove,Leichhardt,SHR,93,322,20/03/2014,
5045461,Tathra Wharf and building,NULL,Bega Valley,SHR,405,836,20/03/2014,
5045726,Day Dream Smelter,NULL,Unincorporated,SHR,182,438,20/03/2014,
