X,Y,project_id,orig_id,title,author,consultant,client,year,item_link,doc_type,notes,aol_qualit,contributo,site locat,county,lga,exportaddr,veriaddres,loc_conf,source
150.8120225,-34.06854384,"431","3642","Archaeological assessment of the property located at 263 Queen Street, Campbelltown",Martin Carney & Dana Mider.,Martin Carney & Dana Mider.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3642,archaeology,"1 v. : ill,",not searched,The author,not searched,not searched,not searched,"263 QUEEN STREET, CAMPBELLTOWN, NSW","263 QUEEN STREET CAMPBELLTOWN, NSW 2560, AUSTRALIA",Great,NSW-HeritageLibrary
151.1810398,-33.90430809,"432","3680","Historical and archaeological assessment of 195-199 Rochford Street, Erskineville, NSW",Edward Higginbotham & Associates,Edward Higginbotham & Associates,Department of Housing NSW.,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3680,archaeology,"46 p. : ill,",not searched,The author,not searched,not searched,not searched,"195-199 ROCHFORD STREET, ERSKINEVILLE, NSW","195-199 ROCHFORD STREET ERSKINEVILLE, NSW 2043, AUSTRALIA",Great,NSW-HeritageLibrary
151.1971862,-33.8702026,"433","3682","1-9 Pyrmont Bridge Road, Pyrmont: archaeological assessment",Godden Mackay Pty Ltd.,Godden Mackay Pty Ltd.,Capitol Apartments Pty Ltd,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3682,archaeological,1 v. : ill. : maps.,not searched,The Author,not searched,not searched,not searched,"1-9 PYRMONT BRIDGE, PYRMONT, NSW","1/9 Pyrmont Bridge Rd, Pyrmont NSW 2009, Australia",Great,NSW-HeritageLibrary
151.1956993,-33.8733041,"434","3741","Information to accompany excavation permit for 247-261 Harris Street, Pyrmont",Envirosciences Pty Limited.,Envirosciences Pty Limited.,Concrete Constructions (NSW) Pty Limited,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3741,archaeology,20 leaves : maps.,not searched,Envirosciences,not searched,not searched,not searched,"247-261 HARRIS STREET, PYRMONT, NSW","247/261 Harris St, Pyrmont NSW 2009, Australia",Great,NSW-HeritageLibrary
151.0062237,-33.80593198,"435","3749","Archaeological assessment 456 Church Street, Parramatta, NSW",Wendy Thorp.,Wendy Thorp.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3749,archaeology,"29 p,",not searched,The author,not searched,not searched,not searched,"456 CHURCH STREET, PARRAMATTA, NSW","456 CHURCH STREET PARRAMATTA, NSW 2150, AUSTRALIA",Great,NSW-HeritageLibrary
151.1946334,-33.8722951,"436","3790","Report on the archaeological monitoring programme suring redevelopment of the former McWilliam's Wines premises, 55 Pyrmont Bridge Road, Pyrmont, NSW",Edward Higginbotham & Associates.,Edward Higginbotham & Associates.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3790,archaeology,"1 v,",not searched,The author,not searched,not searched,not searched,"55 PYRMONT BRIDGE, PYRMONT, NSW","55 Pyrmont Bridge Rd, Pyrmont NSW 2009, Australia",Great,NSW-HeritageLibrary
151.2078539,-33.84229017,"437","3792","Archaeological assessment 22 Mackenzie Street, McMahons Point",Casey & Lowe Associates,Casey & Lowe Associates,Walker Group Pty Ltd.,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3792,archaeology,"1 v,",not searched,The author,not searched,not searched,not searched,"22 MACKENZIE STREET, MCMAHONS POINT, NSW","22 MACKENZIE STREET LAVENDER BAY, NSW 2060, AUSTRALIA",Great,NSW-HeritageLibrary
151.2275754,-33.84081,"438","3794",64-66 Cremorne Road: archaeological excavation,Godden Mackay Pty Ltd.,Godden Mackay Pty Ltd.,Spurding Pty Ltd and the Heritage Council of NSW,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3794,archaeology,"40 p. : ill,",not searched,The Author,not searched,not searched,not searched,"64-66 CREMORNE ROAD, Sydney, NSW","64/66 Cremorne Rd, Cremorne Point NSW 2090, Australia",Great,NSW-HeritageLibrary
151.2058392,-33.87170202,"439","3795","Historical and archaeological assessment of Aberdeen House, 204-206 Clarence Street, Sydney, NSW",Edward Higginbotham & Associates.,Edward Higginbotham & Associates.,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3795,archaeology,"29 leaves,",not searched,The author,not searched,not searched,not searched,"204-206 CLARENCE STREET, SYDNEY, NSW","204-206 CLARENCE STREET SYDNEY, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.2069324,-33.86641668,"440","3800","Application for an excavation permit 319-321 George Street, Sydney",,,,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3800,archaeology,"7 leaves,",not searched,not given,not searched,not searched,not searched,"319-321 GEORGE STREET, SYDNEY, NSW","319-321 GEORGE STREET SYDNEY, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
151.1680734,-33.8603421,"441","3869","Application for excavation permit: Monsanto site, 35 Terry Street, Rozelle",,,Walker Group Pty Ltd.,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=3869,archaeology,"1 v. : maps,",not searched,The author,not searched,not searched,not searched,"35 TERRY STREET, ROZELLE, NSW","35 Terry St, Rozelle NSW 2039, Australia",Great,NSW-HeritageLibrary
151.2047901,-33.87590816,"442","4006","Archaeological assessment: 348-354 Sussex Street, Sydney City NSW",Casey & Lowe Associates.,Casey & Lowe Associates.,,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4006,archaeological,"1 v,",not searched,The Authors,not searched,not searched,not searched,"348-354 SUSSEX STREET, SYDNEY, NSW","348-354 SUSSEX STREET SYDNEY, NSW 2000, AUSTRALIA",Great,NSW-HeritageLibrary
150.6036946,-33.73268428,"443","4007","Assessment report: quarry site 206 Great Western Highway, Warrimoo, NSW",Siobhan Lavelle,Siobhan Lavelle,Roads and Traffic Authority.,"1994",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4007,historic sites,12 leaves : ills.,not searched,The Author,not searched,not searched,not searched,"206 GREAT WESTERN HIGHWAY, WARRIMOO, NSW","206 GREAT WESTERN HIGHWAY WARRIMOO, NSW 2774, AUSTRALIA",Great,NSW-HeritageLibrary
151.207643,-33.864038,"444","4057",Cadia mining precinct: archival recording: volume II Part 3,Godden MacKay Pty Ltd.,Godden MacKay Pty Ltd.,Newcrest Mining Limited,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4057,archaeology,"V II comprises 3 volumes (vv. 2,3,4) V.4 located at E994.45 GOD V.4.",not searched,The Authors,not searched,not searched,not searched,"4 LOCATED AT E, Sydney, NSW","4/252 George St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
151.207643,-33.864038,"445","4058",Cadia mining precinct: portable relics - conservation and management: volume III,Godden MacKay Pty Ltd.,Godden MacKay Pty Ltd.,Newcrest Mining Limited,"1995",http://heritagensw.intersearch.com.au/cgi-bin/koha/opac-detail.pl?biblionumber=4058,archaeology,"V II comprises 3 volumes (vv. 2,3,4) V.4 located at E994.45 GOD V.4.",not searched,The Authors,not searched,not searched,not searched,"4 LOCATED AT E, Sydney, NSW","4/252 George St, Sydney NSW 2000, Australia",Great,NSW-HeritageLibrary
