LOCALITY_NAME
HORSLEY PARK
KEMPS CREEK
NARELLAN VALE
POTTS HILL
ENMORE
NEWTOWN
BERALA
HENLEY
LINLEY POINT
PENDLE HILL
OLD TOONGABBIE
TELOPEA
FAIRFIELD HEIGHTS
GLENHAVEN
GLEDSWOOD HILLS
CASTLEREAGH
NORTH NARRABEEN
GLADESVILLE
GLEN ALPINE
DEAN PARK
ALEXANDRIA
ELDERSLIE
PRESTONS
NORTH CURL CURL
WEROMBI
INGLESIDE
REDFERN
WHALE BEACH
COASTERS RETREAT
MCCARRS CREEK
ELVINA BAY
BUNGARRIBEE
ARCADIA
WINDSOR DOWNS
BERKSHIRE PARK
ANNANGROVE
YELLOW ROCK
BLACKTOWN
DOONSIDE
SOUTH WINDSOR
SMITHFIELD
REGENTVILLE
GROSE WOLD
DOUGLAS PARK
MARSFIELD
WOODPARK
BALMAIN EAST
RODD POINT
HUNTLEYS POINT
CLONTARF
MORTLAKE
DOUBLE BAY
WAVERTON
CASTLECRAG
LONG POINT
BILGOLA BEACH
MOUNT LEWIS
BREAKFAST POINT
SANDY POINT
OAKHURST
MATRAVILLE
BANKSMEADOW
DRUMMOYNE
WEST PYMBLE
LANE COVE NORTH
CHATSWOOD
NORTH WAHROONGA
BEROWRA HEIGHTS
WENDOREE PARK
EVELEIGH
WARWICK FARM
RHODES
TENNYSON POINT
MILSONS PASSAGE
MCMAHONS POINT
NORTHWOOD
BRINGELLY
LITTLE BAY
MALABAR
LETHBRIDGE PARK
SHALVEY
EASTLAKES
KAREELA
DENISTONE WEST
WAREEMBA
GLENORIE
VARROVILLE
EAGLE VALE
MACQUARIE FIELDS
BARDEN RIDGE
JANNALI
BLAKEHURST
MINCHINBURY
MOUNT DRUITT
ROOTY HILL
BROOKLYN
BRADBURY
AIRDS
LEONAY
CLAYMORE
POINT PIPER
RUSE
FAIRLIGHT
PLUMPTON
BIDWILL
HUNTINGWOOD
SCHEYVILLE
EMU PLAINS
THERESA PARK
GLENMORE PARK
WAHROONGA
BEROWRA CREEK
BEXLEY NORTH
GREENHILLS BEACH
MOORE PARK
SOUTH COOGEE
LOVETT BAY
OXLEY PARK
CREMORNE POINT
BIRCHGROVE
CREMORNE
NORMANHURST
BEROWRA WATERS
NEWPORT
WILLMOT
WONDABYNE
MOONEY MOONEY
CADDENS
PRAIRIEWOOD
JORDAN SPRINGS
SOUTH HURSTVILLE
ANNANDALE
ERMINGTON
FOREST LODGE
WOOLWICH
CAMMERAY
MARLOW
SOUTH PENRITH
SCARBOROUGH
WESTMEAD
MENANGLE PARK
ROSEMEADOW
GLENFIELD
CECIL PARK
CROMER
BAR POINT
MARAYONG
PARKLEA
TAMARAMA
PORT BOTANY
KU-RING-GAI CHASE
BRIGHTON-LE-SANDS
CLAREVILLE
MINTO
BONNYRIGG
CABRAMATTA
BOSSLEY PARK
KINGSWOOD
BROWNLOW HILL
COBBITTY
GREENDALE
GILEAD
WEDDERBURN
HELENSBURGH
ERSKINEVILLE
ST IVES
HARRINGTON PARK
LUCAS HEIGHTS
MENAI
LILYVALE
KYEEMAGH
ST JOHNS PARK
ROPES CROSSING
BLAIRMOUNT
MULGOA
WOODCROFT
CURRAWONG BEACH
GREAT MACKEREL BEACH
DURAL
MONTEREY
MOUNT VERNON
INGLEBURN
ABBOTSBURY
ST MARYS
ESCHOL PARK
KEARNS
PEMULWUY
COMO
FRENCHS FOREST
BEACON HILL
GUILDFORD WEST
HASSALL GROVE
EMERTON
CECIL HILLS
TOONGABBIE
QUEENSCLIFF
PENRITH
NORTH HARBOUR
MANLY
MERRYLANDS WEST
MONA VALE
WAKELEY
CANLEY HEIGHTS
YENNORA
NORTH SYDNEY
CLIFTON
ELIZABETH HILLS
MIDDLE COVE
BEECROFT
RAMSGATE BEACH
WESTLEIGH
COLLAROY
FIVE DOCK
GYMEA BAY
SACKVILLE
PHILLIP BAY
NARRABEEN
RABY
DACEYVILLE
BOW BOWING
DEE WHY
BEACONSFIELD
CHISWICK
NEWINGTON
THIRROUL
CAMDEN SOUTH
EDGECLIFF
PORT HACKING
NARWEE
PEAKHURST HEIGHTS
LEICHHARDT
BEVERLEY PARK
CARLTON
AUSTINMER
NORTH EPPING
HABERFIELD
WHEELER HEIGHTS
GLEBE
DARKES FOREST
SINGLETONS MILL
EASTERN CREEK
WAITARA
SANDRINGHAM
WOMBARRA
LOFTUS
HURSTVILLE GROVE
LOWER PORTLAND
WEBBS CREEK
LAUGHTONDALE
GUNDERMAN
ULTIMO
NEUTRAL BAY
BALGOWLAH
COLLAROY PLATEAU
MORTDALE
BONDI BEACH
KINGS LANGLEY
OYSTER BAY
MASCOT
MERRYLANDS
MOSMAN
OATLEY
CHIPPENDALE
MACQUARIE PARK
ST IVES CHASE
OATLANDS
FORESTVILLE
WARRIEWOOD
WORONORA HEIGHTS
KILLARNEY HEIGHTS
AVALON BEACH
SACKVILLE NORTH
SOUTH MAROOTA
CAMPERDOWN
HEBERSHAM
KINGS PARK
KELLYVILLE RIDGE
LILYFIELD
SYDNEY
MOUNT PRITCHARD
EBENEZER
CAMBRIDGE GARDENS
KOGARAH
ROCKDALE
TURRELLA
SOUTH GRANVILLE
HARRIS PARK
CABARITA
PYRMONT
DARLINGHURST
CARTWRIGHT
DENISTONE EAST
WAVERLEY
BONNYRIGG HEIGHTS
DUFFYS FOREST
YARRAWARRAH
KURRABA POINT
DAWES POINT
COALCLIFF
LALOR PARK
CAMBRIDGE PARK
GRAYS POINT
SYLVANIA
SANS SOUCI
LITTLE WOBBY
DARLINGTON
BEXLEY
CAMELLIA
PARRAMATTA
WOOLLAHRA
WEST RYDE
BARDIA
LONDONDERRY
HEATHCOTE
ALFORDS POINT
NORTH RYDE
EPPING
EASTWOOD
LANSVALE
PITT TOWN
GREENWICH
ARTARMON
LANE COVE
WATTLE GROVE
MAROOTA
KENTHURST
EDENSOR PARK
GREENFIELD PARK
CONSTITUTION HILL
NORTH RICHMOND
ALLAWAH
FRESHWATER
NORTH MANLY
BILGOLA PLATEAU
RIVERSTONE
LEUMEAH
CASTLE HILL
MARSDEN PARK
GLENWOOD
WINSTON HILLS
TURRAMURRA
WILEY PARK
SEAFORTH
GRANVILLE
MILSONS POINT
LAVENDER BAY
WILBERFORCE
ST CLAIR
STANHOPE GARDENS
WINDSOR
PADDINGTON
NORTH PARRAMATTA
LINDFIELD
ROSEVILLE
CASTLE COVE
FOREST GLEN
OXFORD FALLS
HOLROYD
LUDDENHAM
ABBOTSFORD
CANTERBURY
FAIRFIELD EAST
WOODBINE
COLYTON
TREGEAR
BAULKHAM HILLS
CAMDEN PARK
MOOREBANK
SCHOFIELDS
WENTWORTH POINT
ELIZABETH BAY
CASULA
MEADOWBANK
ST LEONARDS
WILLOUGHBY
ROSEVILLE CHASE
AUBURN
LLANDILO
MARAYLYA
CATTAI
PALM BEACH
PITTWATER
VILLAWOOD
ASHFIELD
CATHERINE FIELD
AUSTRAL
CORNWALLIS
NORTH ROCKS
BERRILEE
NORTH STRATHFIELD
ROYAL NATIONAL PARK
CATARACT
BIRRONG
ROUSE HILL
EARLWOOD
OAKVILLE
VINEYARD
GIRRAWEEN
MIDDLE HARBOUR
WEST PENNANT HILLS
KINGSGROVE
PADSTOW
REVESBY
CHULLORA
WERRINGTON DOWNS
WERRINGTON COUNTY
HURLSTONE PARK
DOVER HEIGHTS
NORTH BONDI
HAMMONDVILLE
BALMAIN
NORWEST
BEAUMONT HILLS
DARLING POINT
DOLANS BAY
WOLLI CREEK
WOOLLOOMOOLOO
DULWICH HILL
CANOELANDS
CURRANS HILL
PICNIC POINT
PANANIA
MILPERRA
MACQUARIE LINKS
HAYMARKET
SUTHERLAND
BURWOOD HEIGHTS
KYLE BAY
BARANGAROO
ACACIA GARDENS
LEWISHAM
SUMMER HILL
KIRRIBILLI
NORTH BALGOWLAH
MANLY VALE
CLARENDON
BEVERLY HILLS
STANMORE
PLEASURE POINT
GYMEA
BANKSTOWN
BUNDEENA
CAMPSIE
KIRRAWEE
PYMBLE
GORDON
LIDCOMBE
SYDNEY OLYMPIC PARK
BOX HILL
NORTH KELLYVILLE
REGENTS PARK
CHERRYBROOK
GREGORY HILLS
CAMPBELLTOWN
CARLINGFORD
PAGEWOOD
ILLAWONG
BANGOR
OLD GUILDFORD
LANSDOWNE
SCOTLAND ISLAND
MENANGLE
ENFIELD
CLEMTON PARK
EAST HILLS
VOYAGER POINT
BLAIR ATHOL
CLYDE
PADSTOW HEIGHTS
REVESBY HEIGHTS
CROYDON PARK
MIDDLE DURAL
GALSTON
ASHBURY
BELFIELD
BELMORE
SEFTON
DUNDAS VALLEY
RIVERWOOD
HOMEBUSH WEST
BAYVIEW
ORCHARD HILLS
MIRANDA
BELLA VISTA
KELLYVILLE
SPRING FARM
CLAREMONT MEADOWS
WERRINGTON
BANKSTOWN AERODROME
CONDELL PARK
MARRICKVILLE
SHANES PARK
NELSON
LUGARNO
STRATHFIELD SOUTH
BOTANY
GREENACRE
LAKEMBA
RICHMOND
RICHMOND LOWLANDS
HUNTERS HILL
CHESTER HILL
YAGOONA
BONDI JUNCTION
BONDI
BASS HILL
ROSELANDS
PUNCHBOWL
STRATHFIELD
PEAKHURST
ROSE BAY
SURRY HILLS
HORNINGSEA PARK
HOXTON PARK
CARRAMAR
LURNEA
AGNES BANKS
ROOKWOOD
LIBERTY GROVE
SOUTH WENTWORTHVILLE
BONNET BAY
WORONORA
CARINGBAH
ROZELLE
KANGAROO POINT
THE PONDS
CARINGBAH SOUTH
CRONULLA
WOOLOOWARE
PENNANT HILLS
GEORGES HALL
GUILDFORD
ARNCLIFFE
LEETS VALE
