HOITEMID,ITEMNAME,ADDRESS,LGA,LISTING,LISTINGNO,PLANNO,RUNDATE,LISTING_DA
5045533,St Andrew's Presbyterian Church and Hall,67 Smith Street Kempsey,Kempsey,SHR,00384,914,2014-03-20,
5011956,Broken Hill Railway Station and yard group,"Broken Hill railway, Broken Hill",Broken Hill,SHR,01101,2657,2014-12-08,
5052993,Berry Courthouse,58 Victoria Street Berry,Shoalhaven,SHR,01736,2006,2014-03-20,
5061684,"Cintra - House, Garden and Stables",34 Regent Street Maitland,Maitland,SHR,01892,2553,2014-03-20,
5045400,Rathven,43 St Marks Road Randwick,Randwick,SHR,00139,497,2014-03-20,
5045376,St. Anne's Roman Catholic Church (former),NULL,Strathfield,SHR,00508,1319,2014-03-20,
5045299,Hereford House,53 Hereford Street Glebe,Sydney,SHR,00460,1159,2014-03-20,
5051461,"Old Great North Road, Between Devine's Hill and Mount Manning",NULL,Hawkesbury,SHR,00991,2302,2014-03-20,
5012025,Grenfell Railway Station,NULL,Weddin,SHR,01155,NULL,2014-03-20,
5053328,St. David's Uniting Church,51- 53 Dalhousie Street Haberfield,Ashfield,SHR,01669,1913,2014-03-20,
5050395,Cathedral of the Annunciation of Our Lady,242 Cleveland Street Redfern,Sydney,SHR,01881,2523,2014-03-20,
5045109,"Arcola - house, stables, garden, fence",150 Victoria Street Grafton,Clarence Valley,SHR,00714,1765,2014-03-20,
5061375,Queanbeyan Showground,Farrer Place,Queanbeyan City,SHR,01890,2478,,
5044978,Convict Lumber Yard or Stockade Site,98 Scott Street Newcastle,Newcastle,SHR,00570,1537,2014-03-20,
5045552,Neoblie,NULL,Blacktown,SHR,00245,574,2014-03-20,
5051415,Lennox House,39 Campbell Street Parramatta,Parramatta,SHR,00751,1814,2014-03-20,
5061607,The Captain Thunderbolt Sites - Thunderbolt's Death Site,,Uralla,SHR,01889,2539,,
5051285,Price Morris Cottage,37 Upper Macdonald Road St. Albans,Hawkesbury,SHR,01444,2118,2014-03-20,
5012218,Singleton Railway Station group,Main Northern railway Singleton,Singleton,SHR,01246,2687,2015-01-13,
5012295,Yass Town Railway Station and yard group,NULL,Yass Valley,SHR,01293,NULL,2014-03-20,
5045712,History House,133 Macquarie Street Sydney,Sydney,SHR,00692,1742,2014-03-20,
5045246,Terrace,"83, 85 Kent Street Millers Point",Sydney,SHR,00879,NULL,2014-03-20,
5044976,New Albury Hotel,491 Kiewa Street Albury,Albury City,SHR,00629,1654,2014-03-20,
5045038,Police Station (East Maitland),20 John Street East Maitland,Maitland,SHR,01016,NULL,2014-03-20,
5011943,Austinmer Railway Station group,NULL,Wollongong City,SHR,01077,2418,2014-03-20,
5045638,Walka Water Works,NULL,Maitland,SHR,00466,1186,2014-03-20,
5045146,Macquarie Arms Hotel,NULL,Hawkesbury,SHR,00041,210,2014-03-20,
5012027,Gulgong railway bridge over Wialdra Creek,NULL,Mid-Western Regional,SHR,01038,NULL,2014-03-20,
5045204,Dalgety Terrace,"7, 9, 11, 13 Dalgety Terrace Millers Point",Sydney,SHR,00867,NULL,2014-03-20,
5012079,Lewisham Railway viaducts over Long Cove Creek,NULL,Marrickville,SHR,01043,2387,2014-03-20,
5012257,Wagga Wagga Railway Station and yard group,NULL,Wagga Wagga,SHR,01279,NULL,2014-03-20,
5051118,Glebe Island Bridge,,"Leichardt, Sydney",SHR,01914,2590,,
5014213,Fairwater,560 New South Head Road Double Bay,Woollahra,SHR,01381,NULL,2014-03-20,
5045523,Overthorpe,337-347 New South Head Road Double Bay,Woollahra,SHR,00246,581,2014-03-20,
5053872,Ryde Pumping Station and site,NULL,Ryde,SHR,01634,2049,2014-03-20,
5053884,Sydney Water Head Office (former) (1939 building),339-341 Pitt Street Sydney,Sydney,SHR,01645,2058,2014-03-20,
5045231,Juniper Hall,1 Ormond Street Paddington,Woollahra,SHR,00268,653,2014-03-20,
5045399,Walter Burley Griffin Incinerator,2 Small Street Willoughby,Willoughby,SHR,00084,278,2014-03-20,
5045568,Terrace,"22, 24, 26, 30, 32 Argyle Place Millers Point",Sydney,SHR,00905,NULL,2014-03-20,
5061199,Lithgow (James Street) Underbridge,"James Street, Lithgow",Lithgow,SHR,01831,2559,,
5012303,Tomaree Holiday Lodge,NULL,Port Stephens,SHR,00835,2521,2014-03-20,
5012118,Muswellbrook Railway Station and yard group,NULL,Muswellbrook,SHR,01208,NULL,2014-03-20,
5045529,House,126 Windsor Street Richmond,Hawkesbury,SHR,00045,78,2014-03-20,
5045409,APA Building,53-63 Martin Place Sydney,Sydney,SHR,00682,1731,2014-03-20,
5050220,Grafton Bond Store and Sandstone Wall,NULL,Sydney,SHR,01431,2226,2014-03-20,
5045427,Lydham Hall,18 Lydham Avenue Rockdale,Rockdale,SHR,00477,1197,2014-03-20,
5045531,Glenfield Farm,88 Leacocks Lane Casula,Liverpool,SHR,00025,175,2014-03-20,
5045058,Building,121-127 Sussex Street Sydney,Sydney,SHR,00412,944 (TBC),2014-03-20,
5045504,Police Station (former),281 Clarence Street Sydney,Sydney,SHR,00293,719,2014-03-20,
5001228,Berrilea,29 Summer Street Orange,Orange,SHR,00361,866,2014-03-20,
5051362,Clarence Town Bridge over Williams River,Main Road 567 Clarence Town,Dungog,SHR,01462,2674,2015-01-07,
5045617,Houses,"36, 38 Argyle Place Millers Point",Sydney,SHR,00878,NULL,2014-03-20,
5045125,St. Alban's Anglican Church,NULL,Muswellbrook,SHR,00458,1147,2014-03-20,
5000865,Terrace,"71, 73 Kent Street Millers Point",Sydney,SHR,00914,NULL,2014-03-20,
5012121,Newbridge Railway Station and yard group,NULL,Blayney,SHR,01210,NULL,2014-03-20,
5051368,Crankies Plain Bridge,Main Road 91 Bombala,Bombala,SHR,01466,2666,2015-01-06,
5012115,"Mudgee Railway Station, yard and locomotive yard",NULL,Mid-Western Regional,SHR,01204,NULL,2014-03-20,
5045436,Fernhill,NULL,Penrith,SHR,00054,233,2014-03-20,
5012045,Gundagai Railway Station and yard group,NULL,Gundagai,SHR,01159,NULL,2014-03-20,
5054659,Kinchela Aboriginal Boys' Training Home,2054 South West Rocks Road Kinchela,Kempsey,SHR,01875,2503,2014-03-20,
5045445,Warbys Barn & Warbys Stables,14 - 20 Queen Street Campbelltown,Campbelltown,SHR,00497,1293,2014-03-20,
5045602,Wesleyan Chapel,348a Bourke Street Darlinghurst,Sydney,SHR,00457,1151,2014-03-20,
