TroveID,troveUrl,title,site_name,contributor,issued,year,abstract,subjects,URLs,ExternalURL_1,ExternalURL_1_type,relevanceScore,suburbs,longitude,latitude
34022505,http://trove.nla.gov.au/work/34022505,"Archaeological assessment Butcher Brothers' Brickworks Alto Place, Artarmon / Report to Thiess John Holland Joint Venture [by] Casey & Lowe Pty Ltd","Butcher Brothers' Brickworks Alto Place, Artarmon",Thiess John Holland Joint Venture,2004,2004,not found,not found,not found,not found,not found,0.05471803,none found,none found
22111429,http://trove.nla.gov.au/work/22111429,"An archaeological investigation of Aboriginal sites at Callan Point and Yurulbin point : a report to the Leichhardt Council / by Australian Archaeological Survey Consultants Pty. Ltd. (AASC), (Huys, Johnston, Wickman)","Callan Point and Yurulbin point, Leichhardt",Australian Archaeological Survey Consultants Pty. Ltd,1995,1995,not found,not found,not found,not found,not found,0.19777517,none found,none found
9881742,http://trove.nla.gov.au/work/9881742,"Historical & archaeological assessment of the proposed site for NSW Water Police at Camerons Cove East Balmain NSW : a report prepared in accordance with the requirements of the Camerons Cove Master Plan adopted by the Minister of Urban Affairs & Planning, 3rd October, 2000 / Graham Wilson ... [et al.]","Cameron's Cove, Balmain","Wilson, Graham",2001,2001,not found,not found,not found,not found,not found,0.08977712,none found,none found
10271808,http://trove.nla.gov.au/work/10271808,"Sydney Water Police relocation to Cameron's Cove, Balmain : maritime archaeological assessment : final / prepared for Archaeological & Heritage Management Solutions Pty Ltd (AHMS) by Cosmos Coroneos","Cameron's Cove, Balmain","Coroneos, Cosmos",2003,2003,not found,not found,not found,not found,not found,0.0542323,none found,none found
27687828,http://trove.nla.gov.au/work/27687828,"Report on the archaeological monitoring programme during construction of the Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown, N.S.W. / Edward Higginbotham for Tim Shellshear & Associates Architects Pty Ltd","Campbelltown Medical and Dental Clinic, Queen Street, Campbelltown","Higginbotham, Edward A. K",2000,2000,not found,not found,not found,not found,not found,0.043274827,none found,none found
220908542,http://trove.nla.gov.au/work/220908542,"Camperdown Memorial Rest Park, Newtown : archaeological assessment of proposed landscaping and research design for mitigation / Denis Gojak, Banksia Heritage + Archaeology for Marrickville Municipal Council",Camperdown Memorial Rest Park,"Gojak, Denis",2002,2002,not found,not found,not found,not found,not found,0.1301324,151.1784337,-33.8943565
34864281,http://trove.nla.gov.au/work/34864281,Carrington watchhouse : Lot 7. Section K. Carrington village. Report to the Heritage Council of New South Wales / Damaris Bairstow with Sydney University Centre for Historical Archaeology,Carrington watchhouse,"Bairstow, Damaris",1988,1988,not found,not found,not found,not found,not found,0.037647717,none found,none found
30476057,http://trove.nla.gov.au/work/30476057,"Castle Hill Heritage Park : archaeological assessment research design & excavation methodology for proposed monitoring of landscaping & test investigation at the barracks & schoolhouse sites / Archaeological & Heritage Management Solutions Pty Ltd, on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,Baulkham Hills (N.S.W. : Shire). Council,2003,2003,not found,not found,not found,not found,not found,0.19163984,151.014518,-33.7181541
8670548,http://trove.nla.gov.au/work/8670548,"Aboriginal archaeological test excavation report for proposed development of Castle Hill Heritage Park, Castle Hill, NSW : report prepared in support of an application under Section 90 of the National Parks and Wildlife Act (1974) for a heritage impact permit / by Jim Wheeler ... [et al.], on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,"Wheeler, Jim archaeologist",2003,2003,not found,not found,not found,not found,not found,0.1174715,151.014518,-33.7181541
30475419,http://trove.nla.gov.au/work/30475419,"Castle Hill Heritage Park : Aboriginal archaeological assessment & development impact mitigation strategy for proposed archaeological test excavations / Jim Wheeler, Peter Douglas & Chris Lewczak, on behalf of Baulkham Hills Shire Council",Castle Hill Heritage Park,"Wheeler, Jim archaeologist",2003,2003,not found,not found,not found,not found,not found,0.083797745,151.014518,-33.7181541
